Date,Ticker,Company,Close,Market Cap,Volume
2025-08-27,048550,에스엠컬처앤콘텐츠,1394,,794769
2025-08-27,054780,키이스트,4240,,76452
2025-08-27,060570,드림어스컴퍼니,9735,,19106
2025-08-27,063440,에스엠라이프디자인그룹,1579,,68273
2025-08-27,376300,디어유,54800,,292293
2025-08-28,041510,에스엠,139300,,339191
2025-08-28,048550,에스엠컬처앤콘텐츠,1393,,412741
2025-08-28,054780,키이스트,4175,,53212
2025-08-28,060570,드림어스컴퍼니,10150,,37820
2025-08-28,063440,에스엠라이프디자인그룹,1569,,53350
2025-08-28,376300,디어유,50300,,534165
2025-08-29,041510,에스엠,138800,,133625
2025-08-29,048550,에스엠컬처앤콘텐츠,1371,,306312
2025-08-29,054780,키이스트,4080,,83908
2025-08-29,060570,드림어스컴퍼니,8780,,114418
2025-08-29,063440,에스엠라이프디자인그룹,1567,,118367
2025-08-29,376300,디어유,49450,,145026
2025-09-01,041510,에스엠,140400,,172881
2025-09-01,048550,에스엠컬처앤콘텐츠,1358,,240092
2025-09-01,054780,키이스트,4065,,49247
2025-09-01,060570,드림어스컴퍼니,8920,,50281
2025-09-01,063440,에스엠라이프디자인그룹,1527,,138785
2025-09-01,376300,디어유,50300,,168900
2025-09-02,041510,에스엠,137100,,111818
2025-09-02,048550,에스엠컬처앤콘텐츠,1361,,241746
2025-09-02,054780,키이스트,4070,,45289
2025-09-02,060570,드림어스컴퍼니,8700,,38516
2025-09-02,063440,에스엠라이프디자인그룹,1535,,83130
2025-09-02,376300,디어유,50300,,85227
2025-09-03,041510,에스엠,135700,,113078
2025-09-03,048550,에스엠컬처앤콘텐츠,1363,,291172
2025-09-03,054780,키이스트,4090,,34750
2025-09-03,060570,드림어스컴퍼니,8890,,20427
2025-09-03,063440,에스엠라이프디자인그룹,1567,,48062
2025-09-03,376300,디어유,49700,,78186
2025-09-04,041510,에스엠,136200,,95603
2025-09-04,048550,에스엠컬처앤콘텐츠,1380,,352685
2025-09-04,054780,키이스트,4100,,12370
2025-09-04,060570,드림어스컴퍼니,8920,,15559
2025-09-04,063440,에스엠라이프디자인그룹,1559,,68019
2025-09-04,376300,디어유,49050,,73489
2025-09-05,041510,에스엠,140100,,177674
2025-09-05,048550,에스엠컬처앤콘텐츠,1375,,289752
2025-09-05,054780,키이스트,4270,,121237
2025-09-05,060570,드림어스컴퍼니,8930,,14847
2025-09-05,063440,에스엠라이프디자인그룹,1642,,361083
2025-09-05,376300,디어유,48600,,147202
2025-09-08,041510,에스엠,142800,,100421
2025-09-08,048550,에스엠컬처앤콘텐츠,1355,,271548
2025-09-08,054780,키이스트,4375,,161165
2025-09-08,060570,드림어스컴퍼니,9125,,25475
2025-09-08,063440,에스엠라이프디자인그룹,1607,,140891
2025-09-08,376300,디어유,49500,,175906
2025-09-09,041510,에스엠,138800,,181408
2025-09-09,048550,에스엠컬처앤콘텐츠,1355,,184807
2025-09-09,054780,키이스트,4350,,55292
2025-09-09,060570,드림어스컴퍼니,9245,,27630
2025-09-09,063440,에스엠라이프디자인그룹,1603,,103415
2025-09-09,376300,디어유,49350,,101586
2025-09-10,041510,에스엠,142700,,187972
2025-09-10,048550,에스엠컬처앤콘텐츠,1369,,202695
2025-09-10,054780,키이스트,4540,,166940
2025-09-10,060570,드림어스컴퍼니,9475,,19633
2025-09-10,063440,에스엠라이프디자인그룹,1608,,78654
2025-09-10,376300,디어유,48000,,374921
2025-09-11,041510,에스엠,142800,,213526
2025-09-11,048550,에스엠컬처앤콘텐츠,1358,,185305
2025-09-11,054780,키이스트,4540,,70789
2025-09-11,060570,드림어스컴퍼니,9340,,7951
2025-09-11,063440,에스엠라이프디자인그룹,1608,,58920
2025-09-11,376300,디어유,47200,,293550
2025-09-12,041510,에스엠,143200,,91504
2025-09-12,048550,에스엠컬처앤콘텐츠,1366,,203743
2025-09-12,054780,키이스트,4585,,76877
2025-09-12,060570,드림어스컴퍼니,9280,,39230
2025-09-12,063440,에스엠라이프디자인그룹,1614,,69098
2025-09-12,376300,디어유,48000,,127754
2025-09-15,041510,에스엠,141600,,103825
2025-09-15,048550,에스엠컬처앤콘텐츠,1348,,270597
2025-09-15,054780,키이스트,4530,,155808
2025-09-15,060570,드림어스컴퍼니,9165,,13889
2025-09-15,063440,에스엠라이프디자인그룹,1616,,126081
2025-09-15,376300,디어유,46550,,282397
2025-09-16,041510,에스엠,142500,,93636
2025-09-16,048550,에스엠컬처앤콘텐츠,1358,,199233
2025-09-16,054780,키이스트,4600,,107484
2025-09-16,060570,드림어스컴퍼니,9425,,19081
2025-09-16,063440,에스엠라이프디자인그룹,1623,,76373
2025-09-16,376300,디어유,46750,,137673
2025-09-17,041510,에스엠,143500,,99661
2025-09-17,048550,에스엠컬처앤콘텐츠,1356,,159512
2025-09-17,054780,키이스트,4580,,85003
2025-09-17,060570,드림어스컴퍼니,9620,,8706
2025-09-17,063440,에스엠라이프디자인그룹,1632,,479050
2025-09-17,376300,디어유,46400,,148383
2025-09-18,041510,에스엠,146600,,119243
2025-09-18,048550,에스엠컬처앤콘텐츠,1358,,166156
2025-09-18,054780,키이스트,4590,,79020
